,title,url,pageRank,word,pos,start_time,end_time
90,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,mention,verb,60,120
91,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,depend,verb,60,120
92,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,know,verb,60,120
93,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,create,verb,60,120
94,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,know,verb,60,120
95,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,make,verb,60,120
96,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,want,verb,60,120
97,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,say,verb,60,120
98,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,have,verb,60,120
99,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,make,verb,60,120
100,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,provide,verb,60,120
101,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,think,verb,60,120
102,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,provide,verb,60,120
103,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Pythonidae,0.06728615942242579,know,verb,60,120
104,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,beginner,noun,60,120
105,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,things,noun,60,120
106,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,project,noun,60,120
107,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,thing,noun,60,120
108,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,thing,noun,60,120
109,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,confidence,noun,60,120
110,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,project,noun,60,120
111,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,level,noun,60,120
112,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,starting,noun,60,120
113,Introduction to Python Course | Python for beginners,http://en.wikipedia.org/wiki/Data,0.02383244041261178,projects,noun,60,120
