title,word,start_time,end_time
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",자바에서는 몫이 나오던데 하고 헷갈리실 수 있는데,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",나눴을 때 몫이 나오는 건 슬래시를 하나 더 붙였을 때,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이렇게 쓰면 이제 나눴을 때 몫이 나옵니다.,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",어려우실 수 있으니까 잠깐 설명을 해 드릴게요.,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","3하고, 얘가 바로 나눌 수 없으니까 몫이 0이고",300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","이렇게 나머지가 3이다, 이렇게 쓸 수도 있죠?",300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이거 기억나시나요? 예전에 초등학교 중학교 이럴 때 배우는 수학인데,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이렇게 하면 몫이 0이고 나머지가 3이다 이렇게 쓸 수 있죠.,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","몫을 표현할 때, 그때는 요 슬래쉬를 두개 붙여서 이렇게 하면 몫이 나옵니다.",300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",재생을 해보면 여기 0이 나왔죠?,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그러면 3을 표현하려면 어떻게 표현해야되냐?,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","퍼센트, Shift하고 5번이죠. 퍼센트를 쓰면 이 나머지인 3이 표시됩니다.",300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",규권방님 이거 별표 두개가 제곱인가요라고 해주셨는데 맞습니다.,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이렇게 별표 두개 하면 제곱이 됩니다.,360,420
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","그러면 3의 4승, 이렇게 81이 나옵니다.",360,420
